"Team","W","L","W/L%","GB","PS/G","PA/G","SRS","Year","Total.PF","Total.PA","Ratio"
"New York Knicks",33,49,0.402,12,97.3,99.7,-2.72,2005,7979,8175,0.976024464831804
"Detroit Pistons",54,28,0.659,0,93.3,89.5,3.31,2005,7651,7339,1.04251260389699
"Chicago Bulls",47,35,0.573,7,94.5,93.4,0.65,2005,7749,7659,1.0117508813161
"Indiana Pacers",44,38,0.537,10,93,92.2,0.49,2005,7626,7560,1.00873015873016
"Cleveland Cavaliers",42,40,0.512,12,96.5,95.7,0.27,2005,7913,7847,1.00841085765261
"Milwaukee Bucks",30,52,0.366,24,97.2,100.2,-3.09,2005,7970,8216,0.970058422590068
"Miami Heat",59,23,0.72,0,101.5,95,5.77,2005,8323,7790,1.06842105263158
"Washington Wizards",45,37,0.549,14,100.5,100.8,-0.71,2005,8241,8266,0.996975562545367
"Orlando Magic",36,46,0.439,23,99.5,101.8,-2.52,2005,8159,8348,0.977359846669861
"Charlotte Bobcats",18,64,0.22,41,94.3,100.2,-6.15,2005,7733,8216,0.941212268743914
"Atlanta Hawks",13,69,0.159,46,92.7,102.5,-9.62,2005,7601,8405,0.904342653182629
"Seattle SuperSonics",52,30,0.634,0,98.9,96.6,2.59,2005,8110,7921,1.02386062365863
"Denver Nuggets",49,33,0.598,3,99.5,97.5,2.23,2005,8159,7995,1.02051282051282
"Minnesota Timberwolves",44,38,0.537,8,96.8,95.3,1.73,2005,7938,7815,1.01573896353167
"Portland Trail Blazers",27,55,0.329,25,92.9,96.9,-3.45,2005,7618,7946,0.958721369242386
"Utah Jazz",26,56,0.317,26,93,97.3,-3.74,2005,7626,7979,0.955758867025943
"Phoenix Suns",62,20,0.756,0,110.4,103.3,7.08,2005,9053,8471,1.06870499350726
"Sacramento Kings",50,32,0.61,12,103.7,101.6,2.56,2005,8503,8331,1.02064578081863
"Los Angeles Clippers",37,45,0.451,25,95.7,96.5,-0.47,2005,7847,7913,0.99165929483129
"Los Angeles Lakers",34,48,0.415,28,98.7,101.7,-2.32,2005,8093,8339,0.970500059959228
"Golden State Warriors",34,48,0.415,28,98.7,100.9,-1.74,2005,8093,8274,0.978124244621707
"San Antonio Spurs",59,23,0.72,0,96.2,88.4,7.84,2005,7888,7249,1.08815008966754
"Dallas Mavericks",58,24,0.707,1,102.5,96.8,5.86,2005,8405,7938,1.05883093978332
"Houston Rockets",51,31,0.622,8,95.1,91,4.27,2005,7798,7462,1.04502814258912
"Memphis Grizzlies",45,37,0.549,14,93.4,91.1,2.64,2005,7659,7470,1.02530120481928
"New Orleans Hornets",18,64,0.22,41,88.4,95.5,-6.3,2005,7249,7831,0.925679989784191
"New Jersey Nets",49,33,0.598,0,93.8,92.4,1.11,2006,7692,7577,1.01517751088821
"Philadelphia ers",38,44,0.463,11,99.4,101.3,-2.1,2006,8151,8307,0.981220657276995
"Boston Celtics",33,49,0.402,16,98,99.5,-1.59,2006,8036,8159,0.984924623115578
"Toronto Raptors",27,55,0.329,22,101.1,104,-3.03,2006,8290,8528,0.972091932457786
"New York Knicks",23,59,0.28,26,95.6,102,-6.3,2006,7839,8364,0.937230989956958
"Detroit Pistons",64,18,0.78,0,96.8,90.2,6.24,2006,7938,7396,1.07328285559762
"Cleveland Cavaliers",50,32,0.61,14,97.6,95.4,2.17,2006,8003,7823,1.02300907580212
"Indiana Pacers",41,41,0.5,23,93.9,92,1.62,2006,7700,7544,1.02067868504772
"Chicago Bulls",41,41,0.5,23,97.8,97.2,0.51,2006,8020,7970,1.00627352572146
"Milwaukee Bucks",40,42,0.488,24,97.8,98.8,-1.07,2006,8020,8102,0.9898790422118
"Miami Heat",52,30,0.634,0,99.9,96,3.59,2006,8192,7872,1.04065040650407
"Washington Wizards",42,40,0.512,10,101.7,99.8,1.57,2006,8339,8184,1.01893939393939
"Orlando Magic",36,46,0.439,16,94.9,96,-1.26,2006,7782,7872,0.988567073170732
"Charlotte Bobcats",26,56,0.317,26,96.9,100.9,-3.9,2006,7946,8274,0.960357747159778
"Atlanta Hawks",26,56,0.317,26,97.2,102,-4.69,2006,7970,8364,0.952893352462936
"Denver Nuggets",44,38,0.537,0,100.3,100.1,0.36,2006,8225,8208,1.00207115009747
"Utah Jazz",41,41,0.5,3,92.4,95,-2.49,2006,7577,7790,0.972657252888318
"Seattle SuperSonics",35,47,0.427,9,102.6,105.6,-2.88,2006,8413,8659,0.971590252916041
"Minnesota Timberwolves",33,49,0.402,11,91.7,93.6,-1.75,2006,7519,7675,0.979674267100977
"Portland Trail Blazers",21,61,0.256,23,88.8,98.3,-8.91,2006,7282,8061,0.903361865773477
"Phoenix Suns",54,28,0.659,0,108.4,102.8,5.48,2006,8889,8430,1.05444839857651
"Los Angeles Clippers",47,35,0.573,7,97.2,95.6,1.75,2006,7970,7839,1.01671131521878
"Los Angeles Lakers",45,37,0.549,9,99.4,96.9,2.53,2006,8151,7946,1.02579914422351
"Sacramento Kings",44,38,0.537,10,98.9,97.3,1.61,2006,8110,7979,1.01641809750595
"Golden State Warriors",34,48,0.415,20,98.5,99.8,-1.11,2006,8077,8184,0.986925708699902
"San Antonio Spurs",63,19,0.768,0,95.6,88.8,6.69,2006,7839,7282,1.07648997528152
"Dallas Mavericks",60,22,0.732,3,99.1,93.1,5.96,2006,8126,7634,1.06444851977993
"Memphis Grizzlies",49,33,0.598,14,92.2,88.5,3.74,2006,7560,7257,1.04175279040926
"New Orleans/Oklahoma City Hornets",38,44,0.463,25,92.8,95.6,-2.51,2006,7610,7839,0.970787090190075
"Houston Rockets",34,48,0.415,29,90.1,91.7,-1.3,2006,7388,7519,0.982577470408299
"Toronto Raptors",47,35,0.573,0,99.5,98.5,0.61,2007,8159,8077,1.01015228426396
"New Jersey Nets",41,41,0.5,6,97.6,98.3,-1,2007,8003,8061,0.992804862920233
"Philadelphia ers",35,47,0.427,12,94.9,98,-3.26,2007,7782,8036,0.968392234942758
"New York Knicks",33,49,0.402,14,97.5,100.3,-3.06,2007,7995,8225,0.972036474164134
"Boston Celtics",24,58,0.293,23,95.8,99.2,-3.7,2007,7856,8134,0.96582247356774
"Detroit Pistons",53,29,0.646,0,96,91.8,3.69,2007,7872,7528,1.04569606801275
"Cleveland Cavaliers",50,32,0.61,3,96.8,92.9,3.33,2007,7938,7618,1.04200577579417
"Chicago Bulls",49,33,0.598,4,98.8,93.8,4.52,2007,8102,7692,1.05330213208528
"Indiana Pacers",35,47,0.427,18,95.6,98,-2.62,2007,7839,8036,0.975485316077651
"Milwaukee Bucks",28,54,0.341,25,99.7,104,-4.43,2007,8175,8528,0.958606941838649
"Miami Heat",44,38,0.537,0,94.6,95.5,-1.21,2007,7757,7831,0.990550376707956
"Washington Wizards",41,41,0.5,3,104.3,104.9,-0.8,2007,8553,8602,0.99430365031388
"Orlando Magic",40,42,0.488,4,94.8,94,0.35,2007,7774,7708,1.00856253243383
"Charlotte Bobcats",33,49,0.402,11,96.9,100.6,-3.97,2007,7946,8249,0.963268274942417
"Atlanta Hawks",30,52,0.366,14,93.7,98.4,-4.86,2007,7683,8069,0.952162597595737
"Utah Jazz",51,31,0.622,0,101.5,98.6,3.06,2007,8323,8085,1.02943722943723
"Denver Nuggets",45,37,0.549,6,105.4,103.7,1.69,2007,8643,8503,1.01646477713748
"Portland Trail Blazers",32,50,0.39,19,94.1,98.4,-3.78,2007,7716,8069,0.956252323708018
"Minnesota Timberwolves",32,50,0.39,19,96.1,99.7,-3.16,2007,7880,8175,0.963914373088685
"Seattle SuperSonics",31,51,0.378,20,99.1,102,-2.45,2007,8126,8364,0.971544715447154
"Phoenix Suns",61,21,0.744,0,110.2,102.9,7.28,2007,9036,8438,1.07086987437781
"Los Angeles Lakers",42,40,0.512,19,103.3,103.4,0.24,2007,8471,8479,0.999056492510909
"Golden State Warriors",42,40,0.512,19,106.5,106.9,0,2007,8733,8766,0.996235455167693
"Los Angeles Clippers",40,42,0.488,21,95.6,96.1,-0.07,2007,7839,7880,0.994796954314721
"Sacramento Kings",33,49,0.402,28,101.3,103.1,-1.35,2007,8307,8454,0.982611781405252
"Dallas Mavericks",67,15,0.817,0,100,92.8,7.28,2007,8200,7610,1.07752956636005
"San Antonio Spurs",58,24,0.707,9,98.5,90.1,8.35,2007,8077,7388,1.09325933946941
"Houston Rockets",52,30,0.634,15,97,92.1,5.04,2007,7954,7552,1.05323093220339
"New Orleans/Oklahoma City Hornets",39,43,0.476,28,95.5,97.1,-1.19,2007,7831,7962,0.983546847525747
"Memphis Grizzlies",22,60,0.268,45,101.6,106.7,-4.44,2007,8331,8749,0.95222311121271
"Boston Celtics",66,16,0.805,0,100.5,90.3,9.3,2008,8241,7405,1.11289669142471
"Toronto Raptors",41,41,0.5,25,100.2,97.3,2.47,2008,8216,7979,1.02970297029703
"Philadelphia ers",40,42,0.488,26,96.6,96.2,0.19,2008,7921,7888,1.00418356997972
"New Jersey Nets",34,48,0.415,32,95.8,100.9,-5.15,2008,7856,8274,0.949480299734107
"New York Knicks",23,59,0.28,43,96.9,103.5,-6.55,2008,7946,8487,0.936255449511017
"Detroit Pistons",59,23,0.72,0,97.5,90.1,6.67,2008,7995,7388,1.08216025988089
"Cleveland Cavaliers",45,37,0.549,14,96.4,96.7,-0.53,2008,7905,7929,0.996973136587212
"Indiana Pacers",36,46,0.439,23,104,105.4,-1.87,2008,8528,8643,0.986694434802731
"Chicago Bulls",33,49,0.402,26,97.3,100.4,-3.19,2008,7979,8233,0.969148548524232
"Milwaukee Bucks",26,56,0.317,33,97,103.9,-6.92,2008,7954,8520,0.933568075117371
"Orlando Magic",52,30,0.634,0,104.5,99,4.79,2008,8569,8118,1.05555555555556
"Washington Wizards",43,39,0.524,9,98.8,99.2,-0.61,2008,8102,8134,0.996065896238013
"Atlanta Hawks",37,45,0.451,15,98.2,100,-2.23,2008,8052,8200,0.981951219512195
"Charlotte Bobcats",32,50,0.39,20,97.1,101.4,-4.49,2008,7962,8315,0.957546602525556
"Miami Heat",15,67,0.183,37,91.4,100,-8.53,2008,7495,8200,0.914024390243902
"Utah Jazz",54,28,0.659,0,106.2,99.3,6.86,2008,8708,8143,1.06938474763601
"Denver Nuggets",50,32,0.61,4,110.7,107,3.74,2008,9077,8774,1.0345338500114
"Portland Trail Blazers",41,41,0.5,13,95.4,96.3,-0.52,2008,7823,7897,0.99062935291883
"Minnesota Timberwolves",22,60,0.268,32,95.6,102.4,-6.26,2008,7839,8397,0.933547695605573
"Seattle SuperSonics",20,62,0.244,34,97.5,106.3,-8.04,2008,7995,8717,0.917173339451646
"Los Angeles Lakers",57,25,0.695,0,108.6,101.3,7.34,2008,8905,8307,1.07198748043818
"Phoenix Suns",55,27,0.671,2,110.1,105,5.14,2008,9028,8610,1.04854819976771
"Golden State Warriors",48,34,0.585,9,111,108.8,2.38,2008,9102,8922,1.02017484868863
"Sacramento Kings",38,44,0.463,19,102.5,104.8,-1.86,2008,8405,8594,0.978007912497091
"Los Angeles Clippers",23,59,0.28,34,93.8,101.1,-6.56,2008,7692,8290,0.927864897466828
"New Orleans Hornets",56,26,0.683,0,100.9,95.6,5.46,2008,8274,7839,1.05549177190968
"San Antonio Spurs",56,26,0.683,0,95.4,90.6,5.1,2008,7823,7429,1.05303540180374
"Houston Rockets",55,27,0.671,1,96.7,92,4.83,2008,7929,7544,1.05103393425239
"Dallas Mavericks",51,31,0.622,5,100.4,95.9,4.7,2008,8233,7864,1.04692268565615
"Memphis Grizzlies",22,60,0.268,34,100.7,106.9,-5.76,2008,8257,8766,0.941934747889573
"Boston Celtics",62,20,0.756,0,100.9,93.4,7.44,2009,8274,7659,1.08029768899334
"Philadelphia ers",41,41,0.5,21,97.4,97.3,0.16,2009,7987,7979,1.00100263190876
"New Jersey Nets",34,48,0.415,28,98.1,100.5,-2.31,2009,8044,8241,0.976095134085669
"Toronto Raptors",33,49,0.402,29,99,101.9,-2.54,2009,8118,8356,0.971517472474868
"New York Knicks",32,50,0.39,30,105.2,107.8,-2.33,2009,8626,8840,0.97579185520362
"Cleveland Cavaliers",66,16,0.805,0,100.3,91.4,8.68,2009,8225,7495,1.09739826551034
"Chicago Bulls",41,41,0.5,25,102.2,102.5,-0.16,2009,8380,8405,0.997025580011898
"Detroit Pistons",39,43,0.476,27,94.2,94.7,-0.36,2009,7724,7765,0.9947198969736
"Indiana Pacers",36,46,0.439,30,105.1,106.2,-0.76,2009,8618,8708,0.989664676159853
"Milwaukee Bucks",34,48,0.415,32,99.3,100.4,-0.88,2009,8143,8233,0.989068383335358
"Orlando Magic",59,23,0.72,0,101,94.4,6.48,2009,8282,7741,1.06988761141971
"Atlanta Hawks",47,35,0.573,12,98.1,96.5,1.7,2009,8044,7913,1.01655503601668
"Miami Heat",43,39,0.524,16,98.3,98,0.49,2009,8061,8036,1.00311100049776
"Charlotte Bobcats",35,47,0.427,24,93.6,94.9,-1.2,2009,7675,7782,0.986250321254176
"Washington Wizards",19,63,0.232,40,96.1,103.5,-6.98,2009,7880,8487,0.928478850005891
"Denver Nuggets",54,28,0.659,0,104.3,100.9,3.13,2009,8553,8274,1.03372008701958
"Portland Trail Blazers",54,28,0.659,0,99.4,94.1,5,2009,8151,7716,1.05637636080871
"Utah Jazz",48,34,0.585,6,103.6,100.9,2.31,2009,8495,8274,1.02671017645637
"Minnesota Timberwolves",24,58,0.293,30,97.8,102.7,-4.74,2009,8020,8421,0.952380952380952
"Oklahoma City Thunder",23,59,0.28,31,97,103.1,-6.04,2009,7954,8454,0.940856399337592
"Los Angeles Lakers",65,17,0.793,0,106.9,99.3,7.11,2009,8766,8143,1.07650742969422
"Phoenix Suns",46,36,0.561,19,109.4,107.5,1.62,2009,8971,8815,1.01769710720363
"Golden State Warriors",29,53,0.354,36,108.6,112.3,-3.8,2009,8905,9209,0.966988815289391
"Los Angeles Clippers",19,63,0.232,46,95.1,103.9,-8.47,2009,7798,8520,0.915258215962441
"Sacramento Kings",17,65,0.207,48,100.6,109.3,-8.6,2009,8249,8963,0.920339172152181
"San Antonio Spurs",54,28,0.659,0,97,93.3,3.36,2009,7954,7651,1.03960266631813
"Houston Rockets",53,29,0.646,1,98.4,94.4,3.73,2009,8069,7741,1.04237178659088
"Dallas Mavericks",50,32,0.61,4,101.7,99.8,1.68,2009,8339,8184,1.01893939393939
"New Orleans Hornets",49,33,0.598,5,95.8,94.3,1.41,2009,7856,7733,1.01590585801112
"Memphis Grizzlies",24,58,0.293,30,93.9,99.3,-5.23,2009,7700,8143,0.945597445658848
"Boston Celtics",50,32,0.61,0,99.2,95.6,3.37,2010,8134,7839,1.03763235106519
"Toronto Raptors",40,42,0.488,10,104.1,105.9,-1.83,2010,8536,8684,0.982957162597881
"New York Knicks",29,53,0.354,21,102.1,105.9,-4.01,2010,8372,8684,0.964071856287425
"Philadelphia ers",27,55,0.329,23,97.7,101.6,-3.93,2010,8011,8331,0.961589244988597
"New Jersey Nets",12,70,0.146,38,92.4,101.5,-8.93,2010,7577,8323,0.910368857383155
"Cleveland Cavaliers",61,21,0.744,0,102.1,95.6,6.17,2010,8372,7839,1.06799336650083
"Milwaukee Bucks",46,36,0.561,15,97.7,96,1.37,2010,8011,7872,1.0176575203252
"Chicago Bulls",41,41,0.5,20,97.5,99.1,-1.64,2010,7995,8126,0.98387890721142
"Indiana Pacers",32,50,0.39,29,100.8,103.8,-3.11,2010,8266,8512,0.97109962406015
"Detroit Pistons",27,55,0.329,34,94,99.1,-5.02,2010,7708,8126,0.948560177208959
"Orlando Magic",59,23,0.72,0,102.8,95.3,7.12,2010,8430,7815,1.07869481765835
"Atlanta Hawks",53,29,0.646,6,101.7,97,4.44,2010,8339,7954,1.04840331908474
"Miami Heat",47,35,0.573,12,96.5,94.2,1.99,2010,7913,7724,1.02446918694977
"Charlotte Bobcats",44,38,0.537,15,95.3,93.8,1.3,2010,7815,7692,1.01599063962559
"Washington Wizards",26,56,0.317,33,96.2,101,-4.72,2010,7888,8282,0.952426950012074
"Denver Nuggets",53,29,0.646,0,106.5,102.4,4.15,2010,8733,8397,1.04001429081815
"Utah Jazz",53,29,0.646,0,104.2,98.9,5.33,2010,8544,8110,1.05351418002466
"Portland Trail Blazers",50,32,0.61,3,98.1,94.8,3.18,2010,8044,7774,1.03473115513249
"Oklahoma City Thunder",50,32,0.61,3,101.5,98,3.55,2010,8323,8036,1.03571428571429
"Minnesota Timberwolves",15,67,0.183,38,98.2,107.8,-9.06,2010,8052,8840,0.910859728506787
"Los Angeles Lakers",57,25,0.695,0,101.7,97,4.78,2010,8339,7954,1.04840331908474
"Phoenix Suns",54,28,0.659,3,110.2,105.3,4.67,2010,9036,8635,1.04643891140706
"Los Angeles Clippers",29,53,0.354,28,95.7,102.1,-6.01,2010,7847,8372,0.937290969899666
"Golden State Warriors",26,56,0.317,31,108.8,112.4,-3.28,2010,8922,9217,0.96799392427037
"Sacramento Kings",25,57,0.305,32,100,104.4,-4.06,2010,8200,8561,0.957832028968578
"Dallas Mavericks",55,27,0.671,0,102,99.3,2.66,2010,8364,8143,1.02713987473904
"San Antonio Spurs",50,32,0.61,5,101.4,96.3,5.07,2010,8315,7897,1.05293149297201
"Houston Rockets",42,40,0.512,13,102.4,102.7,-0.02,2010,8397,8421,0.997149982187389
"Memphis Grizzlies",40,42,0.488,15,102.5,104,-1.39,2010,8405,8528,0.985576923076923
"New Orleans Hornets",37,45,0.451,18,100.2,102.7,-2.27,2010,8216,8421,0.975656097850612
"Boston Celtics",56,26,0.683,0,96.5,91.1,4.83,2011,7913,7470,1.05930388219545
"New York Knicks",42,40,0.512,14,106.5,105.7,0.48,2011,8733,8667,1.00761509172724
"Philadelphia ers",41,41,0.5,15,99,97.5,1.01,2011,8118,7995,1.01538461538462
"New Jersey Nets",24,58,0.293,32,94.2,100.4,-6.28,2011,7724,8233,0.938175634641079
"Toronto Raptors",22,60,0.268,34,99.1,105.4,-6.28,2011,8126,8643,0.940182806895754
"Chicago Bulls",62,20,0.756,0,98.6,91.3,6.53,2011,8085,7487,1.0798717777481
"Indiana Pacers",37,45,0.451,25,99.8,100.9,-1.38,2011,8184,8274,0.989122552574329
"Milwaukee Bucks",35,47,0.427,27,91.9,92.7,-1.02,2011,7536,7601,0.991448493619261
"Detroit Pistons",30,52,0.366,32,97,100.6,-3.78,2011,7954,8249,0.96423808946539
"Cleveland Cavaliers",19,63,0.232,43,95.5,104.5,-8.88,2011,7831,8569,0.913875598086124
"Miami Heat",58,24,0.707,0,102.1,94.6,6.76,2011,8372,7757,1.07928322805208
"Orlando Magic",52,30,0.634,6,99.2,93.7,4.92,2011,8134,7683,1.05870102824418
"Atlanta Hawks",44,38,0.537,14,95,95.8,-1.1,2011,7790,7856,0.991598778004073
"Charlotte Bobcats",34,48,0.415,24,93.3,97.3,-4.08,2011,7651,7979,0.95889209174082
"Washington Wizards",23,59,0.28,35,97.3,104.7,-7.3,2011,7979,8585,0.929411764705882
"Oklahoma City Thunder",55,27,0.671,0,104.8,101,3.81,2011,8594,8282,1.03767205988892
"Denver Nuggets",50,32,0.61,5,107.5,102.7,4.81,2011,8815,8421,1.0467877924237
"Portland Trail Blazers",48,34,0.585,7,96.3,94.8,1.85,2011,7897,7774,1.01582197067147
"Utah Jazz",39,43,0.476,16,99.4,101.3,-1.44,2011,8151,8307,0.981220657276995
"Minnesota Timberwolves",17,65,0.207,38,101.1,107.7,-5.97,2011,8290,8831,0.938738534707281
"Los Angeles Lakers",57,25,0.695,0,101.5,95.4,6.01,2011,8323,7823,1.06391409945034
"Phoenix Suns",40,42,0.488,17,105,105.9,-0.46,2011,8610,8684,0.991478581298941
"Golden State Warriors",36,46,0.439,21,103.4,105.7,-2,2011,8479,8667,0.978308526595131
"Los Angeles Clippers",32,50,0.39,25,98.6,101.8,-2.71,2011,8085,8348,0.9684954480115
"Sacramento Kings",24,58,0.293,33,99.4,104.7,-4.8,2011,8151,8585,0.94944670937682
"San Antonio Spurs",61,21,0.744,0,103.7,98,5.86,2011,8503,8036,1.05811348929816
"Dallas Mavericks",57,25,0.695,4,100.2,96,4.41,2011,8216,7872,1.04369918699187
"New Orleans Hornets",46,36,0.561,15,94.9,94,1.28,2011,7782,7708,1.00960041515309
"Memphis Grizzlies",46,36,0.561,15,99.9,97.6,2.55,2011,8192,8003,1.02361614394602
"Houston Rockets",43,39,0.524,18,105.9,103.7,2.37,2011,8684,8503,1.02128660472774
"Boston Celtics",39,27,0.591,0,91.8,89.3,2.26,2012,6059,5894,1.02799457074992
"New York Knicks",36,30,0.545,3,97.8,94.7,2.39,2012,6455,6250,1.0328
"Philadelphia ers",35,31,0.53,4,93.6,89.4,3.59,2012,6178,5900,1.0471186440678
"Toronto Raptors",23,43,0.348,16,90.7,94,-3.67,2012,5986,6204,0.964861379754997
"New Jersey Nets",22,44,0.333,17,93.1,99.1,-6.37,2012,6145,6541,0.939458798348876
"Chicago Bulls",50,16,0.758,0,96.3,88.2,7.43,2012,6356,5821,1.0919086067686
"Indiana Pacers",42,24,0.636,8,97.7,94.4,2.6,2012,6448,6230,1.03499197431782
"Milwaukee Bucks",31,35,0.47,19,99,98.7,-0.23,2012,6534,6514,1.00307031010132
"Detroit Pistons",25,41,0.379,25,90.9,95.7,-5.19,2012,5999,6316,0.949810006333122
"Cleveland Cavaliers",21,45,0.318,29,93,100.2,-7.34,2012,6138,6613,0.928171782851958
"Miami Heat",46,20,0.697,0,98.5,92.5,5.72,2012,6501,6105,1.06486486486486
"Atlanta Hawks",40,26,0.606,6,96.6,93.2,2.67,2012,6376,6151,1.03657941798082
"Orlando Magic",37,29,0.561,9,94.2,93.4,0.46,2012,6217,6164,1.00859831278391
"Washington Wizards",20,46,0.303,26,93.6,98.4,-5.14,2012,6178,6494,0.951339698182938
"Charlotte Bobcats",7,59,0.106,39,87,100.9,-13.96,2012,5742,6659,0.862291635380688
"Oklahoma City Thunder",47,19,0.712,0,103.1,96.9,6.44,2012,6805,6395,1.06411258795934
"Denver Nuggets",38,28,0.576,9,104.1,101.2,3.16,2012,6871,6679,1.02874681838599
"Utah Jazz",36,30,0.545,11,99.7,99,0.92,2012,6580,6534,1.00704009794919
"Portland Trail Blazers",28,38,0.424,19,97.2,97.8,-0.22,2012,6415,6455,0.993803253292022
"Minnesota Timberwolves",26,40,0.394,21,97.9,100.1,-1.83,2012,6461,6607,0.977902224912971
"Los Angeles Lakers",41,25,0.621,0,97.3,95.9,1.96,2012,6422,6329,1.01469426449676
"Los Angeles Clippers",40,26,0.606,1,97.5,95,2.82,2012,6435,6270,1.02631578947368
"Phoenix Suns",33,33,0.5,8,98.4,98.6,0.29,2012,6494,6508,0.997848801475108
"Golden State Warriors",23,43,0.348,18,97.8,101.2,-2.79,2012,6455,6679,0.96646204521635
"Sacramento Kings",22,44,0.333,19,98.8,104.4,-4.95,2012,6521,6890,0.94644412191582
"San Antonio Spurs",50,16,0.758,0,103.7,96.5,7.28,2012,6844,6369,1.07457999685979
"Memphis Grizzlies",41,25,0.621,9,95,93,2.43,2012,6270,6138,1.02150537634409
"Dallas Mavericks",36,30,0.545,14,95.8,94.8,1.78,2012,6323,6257,1.01054818603164
"Houston Rockets",34,32,0.515,16,98.1,97.9,0.57,2012,6475,6461,1.00216684723727
"New Orleans Hornets",21,45,0.318,29,89.6,93.4,-3.11,2012,5914,6164,0.95944192083063
"New York Knicks",54,28,0.659,0,100,95.7,3.73,2013,8200,7847,1.04498534471773
"Brooklyn Nets",49,33,0.598,5,96.9,95.1,1.25,2013,7946,7798,1.01897922544242
"Boston Celtics",41,40,0.506,12.5,96.5,96.7,-0.62,2013,7816,7833,0.997829694880633
"Philadelphia ers",34,48,0.415,20,93.2,96.5,-3.51,2013,7642,7913,0.965752559079995
"Toronto Raptors",34,48,0.415,20,97.2,98.7,-1.96,2013,7970,8093,0.984801680464599
"Indiana Pacers",49,32,0.605,0,94.7,90.7,3.34,2013,7671,7347,1.04409963250306
"Chicago Bulls",45,37,0.549,4.5,93.2,92.9,-0.02,2013,7642,7618,1.00315043318456
"Milwaukee Bucks",38,44,0.463,11.5,98.9,100.4,-1.83,2013,8110,8233,0.985060123891656
"Detroit Pistons",29,53,0.354,20.5,94.9,98.8,-4.33,2013,7782,8102,0.96050357936312
"Cleveland Cavaliers",24,58,0.293,25.5,96.5,101.2,-4.87,2013,7913,8298,0.953603277898289
"Miami Heat",66,16,0.805,0,102.9,95,7.03,2013,8438,7790,1.08318356867779
"Atlanta Hawks",44,38,0.537,22,98,97.5,-0.08,2013,8036,7995,1.00512820512821
"Washington Wizards",29,53,0.354,37,93.2,95.8,-2.78,2013,7642,7856,0.97275967413442
"Charlotte Bobcats",21,61,0.256,45,93.4,102.7,-9.29,2013,7659,8421,0.90951193444959
"Orlando Magic",20,62,0.244,46,94.1,101.1,-7.12,2013,7716,8290,0.930759951749095
"Oklahoma City Thunder",60,22,0.732,0,105.7,96.5,9.15,2013,8667,7913,1.09528623783647
"Denver Nuggets",57,25,0.695,3,106.1,101.1,5.37,2013,8700,8290,1.04945717732207
"Utah Jazz",43,39,0.524,17,98,98.1,0.3,2013,8036,8044,0.999005469915465
"Portland Trail Blazers",33,49,0.402,27,97.5,100.7,-2.53,2013,7995,8257,0.96826934722054
"Minnesota Timberwolves",31,51,0.378,29,95.7,98.1,-1.83,2013,7847,8044,0.975509696668324
"Los Angeles Clippers",56,26,0.683,0,101.1,94.6,6.43,2013,8290,7757,1.06871213097847
"Golden State Warriors",47,35,0.573,9,101.2,100.3,1.32,2013,8298,8225,1.00887537993921
"Los Angeles Lakers",45,37,0.549,11,102.2,101,1.48,2013,8380,8282,1.01183289060613
"Sacramento Kings",28,54,0.341,28,100.2,105.1,-4.26,2013,8216,8618,0.953353446275238
"Phoenix Suns",25,57,0.305,31,95.2,101.6,-5.75,2013,7806,8331,0.936982355059417
"San Antonio Spurs",58,24,0.707,0,103,96.6,6.67,2013,8446,7921,1.06627951016286
"Memphis Grizzlies",56,26,0.683,2,93.4,89.3,4.32,2013,7659,7323,1.04588283490373
"Houston Rockets",45,37,0.549,13,106,102.5,3.69,2013,8692,8405,1.03414634146341
"Dallas Mavericks",41,41,0.5,17,101.1,101.7,-0.24,2013,8290,8339,0.994123995682936
"New Orleans Hornets",27,55,0.329,31,94.1,97.9,-3.12,2013,7716,8028,0.961136023916293
"Toronto Raptors",48,34,0.585,0,101.3,98,2.55,2014,8307,8036,1.03372324539572
"Brooklyn Nets",44,38,0.537,4,98.5,99.5,-1.58,2014,8077,8159,0.989949748743719
"New York Knicks",37,45,0.451,11,98.6,99.4,-1.4,2014,8085,8151,0.991902834008097
"Boston Celtics",25,57,0.305,23,96.2,100.7,-4.97,2014,7888,8257,0.955310645512898
"Philadelphia ers",19,63,0.232,29,99.5,109.9,-10.66,2014,8159,9012,0.905348424323125
"Indiana Pacers",56,26,0.683,0,96.7,92.3,3.63,2014,7929,7569,1.04756242568371
"Chicago Bulls",48,34,0.585,8,93.7,91.8,1.2,2014,7683,7528,1.02058979808714
"Cleveland Cavaliers",33,49,0.402,23,98.2,101.5,-3.86,2014,8052,8323,0.967439625135168
"Detroit Pistons",29,53,0.354,27,101,104.7,-4.13,2014,8282,8585,0.964705882352941
"Milwaukee Bucks",15,67,0.183,41,95.5,103.7,-8.41,2014,7831,8503,0.920969069740092
"Miami Heat",54,28,0.659,0,102.2,97.4,4.15,2014,8380,7987,1.04920495805684
"Washington Wizards",44,38,0.537,10,100.7,99.4,0.48,2014,8257,8151,1.01300453932033
"Charlotte Bobcats",43,39,0.524,11,96.9,97.1,-0.89,2014,7946,7962,0.997990454659633
"Atlanta Hawks",38,44,0.463,16,101,101.5,-0.88,2014,8282,8323,0.995073891625616
"Orlando Magic",23,59,0.28,31,96.5,102,-5.88,2014,7913,8364,0.946078431372549
